s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_right,d_left
4.787265244739465686e+00,1.357081769666542215e+01,2.970345828601179239e+00,2.633237908086096812e-01,3.445849122754774951e-01,3.400075139949326530e+00,-6.184677719501703308e-01,1.320525231910423924e+00,7.809908761294995783e-01
4.886999937338204703e+00,1.354320243758000508e+01,3.066176227489322503e+00,2.978709326523445444e-01,3.482662404134406198e-01,3.381884913929815717e+00,-6.139196525899882628e-01,1.348268358674493905e+00,7.503192347995875089e-01
4.986734629936942831e+00,1.351227570219928786e+01,3.160989347043025255e+00,3.328059963822540546e-01,3.523596184888697080e-01,3.363731171690642618e+00,-6.042220978260555153e-01,1.379459037642207564e+00,7.194845787895651767e-01
5.086469322535681847e+00,1.347803635708420700e+01,3.254657355747168967e+00,3.681708878315048672e-01,3.568955706686771090e-01,3.345768011238557271e+00,-5.891060151523416222e-01,1.413998272144150858e+00,6.854815182126046125e-01
5.186204015134420864e+00,1.344048514443684184e+01,3.347046955462901430e+00,4.040104694441193356e-01,3.618730604292075825e-01,3.328160899110593984e+00,-5.677141367034739261e-01,1.453329199602809707e+00,6.482855259105576584e-01
5.285938707733159880e+00,1.339962417399561190e+01,3.438021456591430436e+00,4.403698083679592479e-01,3.673310116573976769e-01,3.311104555968065188e+00,-5.396139242124948776e-01,1.500429098586826049e+00,6.122151280244144678e-01
5.385673400331898897e+00,1.335545836288418720e+01,3.527437566744111130e+00,4.772977458755134350e-01,3.732683026040514718e-01,3.294810605003846593e+00,-5.036076325967013823e-01,1.551286116544284166e+00,5.775448166359881119e-01
5.485408092930637913e+00,1.330799461618734902e+01,3.615147939757611173e+00,5.148434530274434984e-01,3.797351067334748809e-01,3.279530853337256247e+00,-4.590162469687433244e-01,1.608395298537827589e+00,5.465854604210961254e-01
5.585142785529376042e+00,1.325724385496198821e+01,3.700997414810027752e+00,5.530608413352648967e-01,3.867290840627017334e-01,3.265541751289130712e+00,-4.041396710023231198e-01,1.670916957999996511e+00,5.212670847186052780e-01
5.684877478128115058e+00,1.320321979820609215e+01,3.784826062322290685e+00,5.920043118886262334e-01,3.943151080716535972e-01,3.253175285425569996e+00,-3.379151265321166386e-01,1.736515895018653666e+00,4.854781509239775583e-01
5.784612170726854075e+00,1.314594174457308640e+01,3.866464843104693294e+00,6.317341888466949662e-01,4.024881738831874722e-01,3.242799055625471549e+00,-2.579165783343156382e-01,1.791742930711676784e+00,4.530502847149335266e-01
5.884346863325593091e+00,1.308543285060918038e+01,3.945739186677671206e+00,6.723113224800827403e-01,4.113302652952627869e-01,3.234856913968972680e+00,-1.694617423912310739e-01,1.792212946318042066e+00,4.088663721379923177e-01
5.984081555924332108e+00,1.302172389823285670e+01,4.022464074106327558e+00,7.137995675668751261e-01,4.202843649087186773e-01,3.229627969950036537e+00,-9.892029219770445692e-02,1.721784875235890411e+00,3.691198099242281594e-01
6.083816248523071124e+00,1.295485717209654020e+01,4.096454214371322955e+00,7.560533766542758549e-01,4.271725736692066344e-01,3.226571749460309668e+00,-4.021526780543472485e-02,1.652836708841513680e+00,3.435395306275763616e-01
6.183550941121809252e+00,1.288490077883474250e+01,4.167527527999038028e+00,7.990144285390279322e-01,4.325781927468784760e-01,3.225328439038520845e+00,-4.021526780543436402e-02,1.586025087716483650e+00,3.294198123763382169e-01
6.283285633720548269e+00,1.281195192970153940e+01,4.235526942811807416e+00,8.418998799111383491e-01,4.275453063262201203e-01,3.224084649156401916e+00,2.179960189877490004e-02,1.521639902978316972e+00,3.255158532557602125e-01
6.383020326319287285e+00,1.273616953533344542e+01,4.300354986958651260e+00,8.843192722705159881e-01,4.227502353226931242e-01,3.224758933333506938e+00,7.512186064638219640e-02,1.459709017768192396e+00,3.311666715283289042e-01
6.482755018918026302e+00,1.265772399953977434e+01,4.361932821175871666e+00,9.261347219657163343e-01,4.158986531701062694e-01,3.227081450703139787e+00,1.473062058562638332e-01,1.400239677112150138e+00,3.455217549621314443e-01
6.582489711516765318e+00,1.257679144627433843e+01,4.420204703580647099e+00,9.673028679607025282e-01,4.097767526386242865e-01,3.231630821704453815e+00,2.046518430340462935e-01,1.343670470844820608e+00,3.621938403640490023e-01
6.682224404115503447e+00,1.249354559932976194e+01,4.475120598197805499e+00,1.007894279836732743e+00,4.043174524960954641e-01,3.237940633350113728e+00,2.495039265170822529e-01,1.290094816386838206e+00,3.834203967019551018e-01
6.781959096714242463e+00,1.240815274991948591e+01,4.526635751673978803e+00,1.047974283450681998e+00,3.995271032386744636e-01,3.245616727207088825e+00,2.830220216749200213e-01,1.239530615910227951e+00,4.060456584861960594e-01
6.881693789312981480e+00,1.232077549103082781e+01,4.574707727044061478e+00,1.087608143698036933e+00,3.953586428816686649e-01,3.254302101616765697e+00,3.067937908836764760e-01,1.192108628364984213e+00,4.302579264274515869e-01
