x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
8.094499,10.591958,0.8000,2.3788,0.753672,-0.727094,2.0526
8.209749,10.689928,0.6898,2.2324,0.658877,-0.529782,2.2629
8.349799,10.789639,0.6274,2.1187,0.585661,-0.361758,2.4804
8.505104,10.885834,0.5865,2.0135,0.529475,-0.271139,2.6923
8.667155,10.975359,0.5958,1.9398,0.472368,-0.320236,2.8912
8.849537,11.061822,0.6318,1.8682,0.412848,-0.269402,3.0936
9.054537,11.145041,0.6858,1.8006,0.360766,-0.206476,3.3012
9.281390,11.224751,0.7615,1.7385,0.316933,-0.160836,3.5129
9.530301,11.301086,0.8488,1.6906,0.290213,-0.056555,3.7286
9.780248,11.373732,0.8749,1.5994,0.277380,-0.042493,3.9325
10.028328,11.442884,0.8946,1.5054,0.265564,-0.048757,4.0000
10.277549,11.508992,0.9951,1.5049,0.254707,-0.035879,4.0000
10.524829,11.572154,1.0417,1.4583,0.245306,-0.037523,4.0000
10.772046,11.632788,1.0729,1.4017,0.236237,-0.033695,4.0000
11.019354,11.691202,1.1263,1.3737,0.228308,-0.028721,4.0000
11.266486,11.747676,1.1644,1.3356,0.221660,-0.023736,4.0000
11.513159,11.802487,1.2502,1.3498,0.215932,-0.021497,4.0000
11.760376,11.856012,1.2879,1.3121,0.211276,-0.015368,4.0000
12.007463,11.908504,1.2982,1.2573,0.207865,-0.011609,4.0000
12.254827,11.960297,1.3538,1.2462,0.205716,-0.005417,4.0000
12.501721,12.011639,1.3878,1.2122,0.204998,-0.000263,4.0000
12.747878,12.062812,1.4182,1.1815,0.205513,0.004371,4.0000
12.993294,12.114111,1.4567,1.1601,0.207233,0.009366,4.0000
13.237765,12.165811,1.4746,1.1254,0.209758,0.010771,4.0000
13.483124,12.218391,1.5482,1.1482,0.213197,0.016670,4.0000
13.728454,12.272039,1.5293,1.0769,0.218114,0.022558,4.0000
13.972867,12.326937,1.6026,1.0974,0.223874,0.023228,4.0000
14.218462,12.383609,1.6090,1.0505,0.231027,0.033956,4.0000
14.461548,12.441888,1.6596,1.0404,0.239637,0.034653,4.0000
14.704069,12.502258,1.6562,0.9824,0.247602,0.028519,4.0000
14.950901,12.565591,1.6723,0.9351,0.256643,0.043216,4.0000
15.195705,12.631278,1.7132,0.9044,0.267984,0.046229,4.0000
15.438722,12.699541,1.7422,0.8576,0.278731,0.038234,4.0000
15.684238,12.771087,1.7829,0.8171,0.289059,0.042701,4.0000
15.930875,12.845902,1.8265,0.7682,0.301870,0.057570,4.0000
