x_m,y_m
9.091800,1.417200
9.041800,1.417200
8.991800,1.417200
8.941800,1.417200
8.891800,1.417200
8.841800,1.417200
8.791800,1.417200
8.741800,1.417200
8.691800,1.417200
8.641800,1.417200
8.591800,1.417200
8.541800,1.417200
8.491800,1.467200
8.441800,1.467200
8.391800,1.467200
8.341800,1.517200
8.291800,1.517200
8.241800,1.517200
8.191800,1.567200
8.141800,1.567200
8.091800,1.567200
8.041800,1.617200
7.991800,1.667200
7.941800,1.667200
7.891800,1.667200
7.841800,1.717200
7.791800,1.717200
7.741800,1.767200
7.691800,1.817200
7.641800,1.817200
7.591800,1.867200
7.541800,1.917200
7.491800,1.917200
7.441800,1.967200
7.391800,2.017200
7.341800,2.067200
7.291800,2.067200
7.241800,2.117200
7.191800,2.167200
7.141800,2.217200
7.091800,2.267200
7.041800,2.267200
6.991800,2.317200
6.941800,2.367200
6.891800,2.417200
6.841800,2.467200
6.791800,2.467200
6.741800,2.517200
6.691800,2.517200
6.641800,2.517200
6.591800,2.567200
6.541800,2.617200
6.491800,2.667200
6.441800,2.717200
6.391800,2.767200
6.341800,2.817200
6.291800,2.867200
6.241800,2.917200
6.191800,2.917200
6.141800,2.967200
6.091800,3.017200
6.041800,3.067200
5.991800,3.117200
5.941800,3.117200
5.891800,3.167200
5.841800,3.217200
5.791800,3.217200
5.741800,3.267200
5.691800,3.317200
5.641800,3.317200
5.591800,3.367200
5.541800,3.367200
5.491800,3.417200
5.441800,3.467200
5.391800,3.467200
5.341800,3.517200
5.291800,3.567200
5.241800,3.567200
5.191800,3.617200
5.141800,3.667200
5.091800,3.667200
5.041800,3.717200
4.991800,3.767200
4.941800,3.767200
4.891800,3.817200
4.841800,3.867200
4.791800,3.867200
4.741800,3.917200
4.691800,3.917200
4.641800,3.967200
4.591800,3.967200
4.541800,4.017200
4.491800,4.067200
4.441800,4.067200
4.391800,4.117200
4.341800,4.117200
4.291800,4.167200
4.241800,4.217200
4.191800,4.217200
4.141800,4.267200
4.091800,4.267200
4.041800,4.317200
3.991800,4.317200
3.941800,4.367200
3.891800,4.417200
3.841800,4.417200
3.791800,4.467200
3.741800,4.467200
3.691800,4.517200
3.641800,4.517200
3.591800,4.567200
3.541800,4.617200
3.491800,4.617200
3.441800,4.667200
3.391800,4.667200
3.341800,4.717200
3.291800,4.717200
3.241800,4.767200
3.191800,4.767200
3.141800,4.767200
3.091800,4.817200
3.041800,4.817200
2.991800,4.867200
2.941800,4.867200
2.891800,4.867200
2.841800,4.917200
2.791800,4.917200
2.741800,4.967200
2.691800,4.967200
2.641800,4.967200
2.591800,5.017200
2.541800,5.017200
2.491800,5.017200
2.441800,5.067200
2.391800,5.067200
2.341800,5.117200
2.291800,5.117200
2.241800,5.117200
2.191800,5.117200
2.141800,5.117200
2.091800,5.167200
2.041800,5.167200
1.991800,5.167200
1.941800,5.167200
1.891800,5.167200
1.841800,5.167200
1.791800,5.167200
1.741800,5.167200
1.691800,5.167200
1.641800,5.167200
1.591800,5.167200
1.541800,5.167200
1.491800,5.167200
1.441800,5.167200
1.391800,5.167200
1.341800,5.167200
1.291800,5.167200
1.241800,5.117200
1.191800,5.117200
1.141800,5.117200
1.091800,5.067200
1.041800,5.067200
0.991800,5.017200
0.941800,4.967200
0.891800,4.917200
0.841800,4.867200
0.791800,4.817200
0.741800,4.767200
0.741800,4.717200
0.741800,4.667200
0.691800,4.617200
0.691800,4.567200
0.691800,4.517200
0.741800,4.467200
0.741800,4.417200
0.741800,4.367200
0.791800,4.317200
0.791800,4.267200
0.841800,4.217200
0.891800,4.167200
0.941800,4.117200
0.991800,4.067200
1.041800,4.017200
1.091800,3.967200
1.141800,3.917200
1.191800,3.867200
1.241800,3.817200
1.291800,3.767200
1.341800,3.717200
1.391800,3.667200
1.441800,3.617200
1.491800,3.567200
1.541800,3.517200
1.591800,3.467200
1.641800,3.417200
1.691800,3.367200
1.741800,3.317200
1.791800,3.267200
1.791800,3.217200
1.841800,3.167200
1.891800,3.117200
1.891800,3.067200
1.891800,3.017200
1.891800,2.967200
1.891800,2.917200
1.891800,2.867200
1.891800,2.817200
1.891800,2.767200
1.891800,2.717200
1.841800,2.667200
1.841800,2.617200
1.791800,2.567200
1.791800,2.517200
1.741800,2.467200
1.691800,2.417200
1.691800,2.367200
1.641800,2.317200
1.591800,2.317200
1.541800,2.267200
1.491800,2.217200
1.441800,2.167200
1.391800,2.167200
1.341800,2.117200
1.291800,2.067200
1.241800,2.067200
1.191800,2.017200
1.141800,1.967200
1.091800,1.967200
1.041800,1.917200
0.991800,1.867200
0.941800,1.867200
0.891800,1.817200
0.841800,1.767200
0.791800,1.717200
0.741800,1.667200
0.691800,1.617200
0.641800,1.567200
0.591800,1.517200
0.541800,1.467200
0.541800,1.417200
0.491800,1.367200
0.491800,1.317200
0.491800,1.267200
0.491800,1.217200
0.491800,1.167200
0.541800,1.117200
0.541800,1.067200
0.591800,1.017200
0.591800,0.967200
0.641800,0.917200
0.691800,0.867200
0.741800,0.817200
0.791800,0.767200
0.841800,0.717200
0.891800,0.717200
0.941800,0.667200
0.991800,0.667200
1.041800,0.667200
1.091800,0.667200
1.141800,0.617200
1.191800,0.617200
1.241800,0.617200
1.291800,0.617200
1.341800,0.617200
1.391800,0.617200
1.441800,0.567200
1.491800,0.567200
1.541800,0.567200
1.591800,0.567200
1.641800,0.567200
1.691800,0.567200
1.741800,0.517200
1.791800,0.517200
1.841800,0.517200
1.891800,0.517200
1.941800,0.517200
1.991800,0.517200
2.041800,0.517200
2.091800,0.517200
2.141800,0.517200
2.191800,0.517200
2.241800,0.517200
2.291800,0.517200
2.341800,0.517200
2.391800,0.517200
2.441800,0.517200
2.491800,0.517200
2.541800,0.517200
2.591800,0.517200
2.641800,0.517200
2.691800,0.517200
2.741800,0.517200
2.791800,0.517200
2.841800,0.517200
2.891800,0.517200
2.941800,0.517200
2.991800,0.517200
3.041800,0.517200
3.091800,0.517200
3.141800,0.517200
3.191800,0.517200
3.241800,0.517200
3.291800,0.517200
3.341800,0.467200
3.391800,0.467200
3.441800,0.467200
3.491800,0.467200
3.541800,0.467200
3.591800,0.467200
3.641800,0.467200
3.691800,0.467200
3.741800,0.467200
3.791800,0.467200
3.841800,0.467200
3.891800,0.467200
3.941800,0.467200
3.991800,0.467200
4.041800,0.467200
4.091800,0.467200
4.141800,0.517200
4.191800,0.517200
4.241800,0.517200
4.291800,0.517200
4.341800,0.517200
4.391800,0.517200
4.441800,0.517200
4.491800,0.517200
4.541800,0.517200
4.591800,0.517200
4.641800,0.517200
4.691800,0.517200
4.741800,0.517200
4.791800,0.517200
4.841800,0.517200
4.891800,0.517200
4.941800,0.517200
4.991800,0.517200
5.041800,0.517200
5.091800,0.517200
5.141800,0.517200
5.191800,0.517200
5.241800,0.517200
5.291800,0.517200
5.341800,0.517200
5.391800,0.517200
5.441800,0.517200
5.491800,0.517200
5.541800,0.517200
5.591800,0.517200
5.641800,0.517200
5.691800,0.517200
5.741800,0.517200
5.791800,0.517200
5.841800,0.517200
5.891800,0.517200
5.941800,0.517200
5.991800,0.517200
6.041800,0.517200
6.091800,0.517200
6.141800,0.517200
6.191800,0.517200
6.241800,0.517200
6.291800,0.517200
6.341800,0.517200
6.391800,0.517200
6.441800,0.517200
6.491800,0.517200
6.541800,0.517200
6.591800,0.517200
6.641800,0.517200
6.691800,0.517200
6.741800,0.467200
6.791800,0.467200
6.841800,0.467200
6.891800,0.467200
6.941800,0.467200
6.991800,0.467200
7.041800,0.467200
7.091800,0.467200
7.141800,0.467200
7.191800,0.467200
7.241800,0.467200
7.291800,0.467200
7.341800,0.467200
7.391800,0.417200
7.441800,0.417200
7.491800,0.417200
7.541800,0.417200
7.591800,0.417200
7.641800,0.417200
7.691800,0.417200
7.741800,0.417200
7.791800,0.417200
7.841800,0.417200
7.891800,0.417200
7.941800,0.367200
7.991800,0.367200
8.041800,0.367200
8.091800,0.367200
8.141800,0.367200
8.191800,0.367200
8.241800,0.367200
8.291800,0.367200
8.341800,0.367200
8.391800,0.367200
8.441800,0.367200
8.491800,0.367200
8.541800,0.317200
8.591800,0.317200
8.641800,0.317200
8.691800,0.317200
8.741800,0.317200
8.791800,0.317200
8.841800,0.317200
8.891800,0.317200
8.941800,0.317200
8.991800,0.317200
9.041800,0.317200
9.091800,0.317200
9.141800,0.317200
9.191800,0.317200
9.241800,0.317200
9.291800,0.317200
9.341800,0.317200
9.391800,0.317200
9.441800,0.317200
9.491800,0.317200
9.541800,0.317200
9.591800,0.317200
9.641800,0.317200
9.691800,0.317200
9.741800,0.317200
9.791800,0.317200
9.841800,0.317200
9.891800,0.317200
9.941800,0.317200
9.991800,0.317200
10.041800,0.317200
10.091800,0.317200
10.141800,0.317200
10.191800,0.317200
10.241800,0.317200
10.291800,0.317200
