x_m,y_m
1.841800,7.567200
1.891800,7.567200
1.941800,7.567200
1.991800,7.567200
2.041800,7.567200
2.091800,7.567200
2.141800,7.567200
2.191800,7.567200
2.241800,7.567200
2.291800,7.567200
2.341800,7.567200
2.391800,7.567200
2.441800,7.567200
2.491800,7.567200
2.541800,7.567200
2.591800,7.567200
2.641800,7.567200
2.691800,7.567200
2.741800,7.567200
2.791800,7.567200
2.841800,7.567200
2.891800,7.567200
2.941800,7.567200
2.991800,7.567200
3.041800,7.567200
3.091800,7.567200
3.141800,7.567200
3.191800,7.567200
3.241800,7.567200
3.291800,7.567200
3.341800,7.567200
3.391800,7.567200
3.441800,7.567200
3.491800,7.567200
3.541800,7.567200
3.591800,7.567200
3.641800,7.567200
3.691800,7.567200
3.741800,7.567200
3.791800,7.567200
3.841800,7.567200
3.891800,7.567200
3.941800,7.567200
3.991800,7.567200
4.041800,7.567200
4.091800,7.567200
4.141800,7.567200
4.191800,7.567200
4.241800,7.567200
4.291800,7.567200
4.341800,7.567200
4.391800,7.567200
4.441800,7.567200
4.491800,7.567200
4.541800,7.567200
4.591800,7.567200
4.641800,7.567200
4.691800,7.567200
4.741800,7.567200
4.791800,7.567200
4.841800,7.567200
4.891800,7.567200
4.941800,7.567200
4.991800,7.567200
5.041800,7.567200
5.091800,7.567200
5.141800,7.567200
5.191800,7.567200
5.241800,7.567200
5.291800,7.567200
5.341800,7.567200
5.391800,7.567200
5.441800,7.567200
5.491800,7.567200
5.541800,7.567200
5.591800,7.567200
5.641800,7.567200
5.691800,7.567200
5.741800,7.567200
5.791800,7.567200
5.841800,7.567200
5.891800,7.567200
5.941800,7.567200
5.991800,7.567200
6.041800,7.567200
6.091800,7.567200
6.141800,7.567200
6.191800,7.567200
6.241800,7.567200
6.291800,7.567200
6.341800,7.567200
6.391800,7.567200
6.441800,7.567200
6.491800,7.567200
6.541800,7.567200
6.591800,7.567200
6.641800,7.567200
6.691800,7.567200
6.741800,7.567200
6.791800,7.567200
6.841800,7.567200
6.891800,7.567200
6.941800,7.567200
6.991800,7.567200
7.041800,7.567200
7.091800,7.567200
7.141800,7.567200
7.191800,7.567200
7.241800,7.567200
7.291800,7.567200
7.341800,7.567200
7.391800,7.567200
7.441800,7.567200
7.491800,7.567200
7.541800,7.567200
7.591800,7.567200
7.641800,7.567200
7.691800,7.567200
7.741800,7.567200
7.791800,7.567200
7.841800,7.567200
7.891800,7.567200
7.941800,7.567200
7.991800,7.567200
8.041800,7.567200
8.091800,7.567200
8.141800,7.567200
8.191800,7.567200
8.241800,7.567200
8.291800,7.567200
8.341800,7.567200
8.391800,7.567200
8.441800,7.567200
8.491800,7.567200
8.541800,7.567200
8.591800,7.567200
8.641800,7.567200
8.691800,7.567200
8.741800,7.567200
8.791800,7.567200
8.841800,7.567200
8.891800,7.567200
8.941800,7.567200
8.991800,7.567200
9.041800,7.567200
9.091800,7.567200
9.141800,7.567200
9.191800,7.567200
9.241800,7.567200
9.291800,7.567200
9.341800,7.567200
9.391800,7.567200
9.441800,7.567200
9.491800,7.567200
9.541800,7.567200
9.591800,7.567200
9.641800,7.567200
9.691800,7.567200
9.741800,7.567200
9.791800,7.567200
9.841800,7.567200
9.891800,7.567200
9.941800,7.567200
9.991800,7.567200
10.041800,7.567200
10.091800,7.567200
10.141800,7.567200
10.191800,7.567200
10.241800,7.567200
10.291800,7.567200
10.341800,7.567200
10.391800,7.567200
10.441800,7.567200
10.491800,7.567200
10.541800,7.567200
10.591800,7.567200
10.641800,7.567200
10.691800,7.567200
10.741800,7.567200
10.791800,7.567200
10.841800,7.567200
10.891800,7.567200
10.941800,7.567200
10.991800,7.567200
11.041800,7.567200
11.091800,7.567200
11.141800,7.567200
11.191800,7.567200
11.241800,7.567200
11.291800,7.567200
11.341800,7.567200
11.391800,7.567200
11.441800,7.567200
11.491800,7.567200
11.541800,7.567200
11.591800,7.567200
11.641800,7.567200
11.691800,7.567200
11.741800,7.567200
11.791800,7.567200
11.841800,7.567200
11.891800,7.567200
11.941800,7.567200
11.991800,7.567200
12.041800,7.567200
12.091800,7.567200
12.141800,7.567200
12.191800,7.567200
12.241800,7.567200
12.291800,7.567200
12.341800,7.567200
12.391800,7.567200
12.441800,7.567200
12.491800,7.567200
12.541800,7.567200
12.591800,7.567200
12.641800,7.567200
12.691800,7.567200
12.741800,7.567200
12.791800,7.567200
12.841800,7.567200
12.891800,7.567200
12.941800,7.567200
12.991800,7.567200
13.041800,7.567200
13.091800,7.567200
13.141800,7.567200
13.191800,7.567200
13.241800,7.567200
13.291800,7.567200
13.341800,7.567200
13.391800,7.567200
13.441800,7.567200
13.491800,7.567200
13.541800,7.567200
13.591800,7.567200
13.641800,7.567200
13.691800,7.567200
13.741800,7.567200
13.791800,7.567200
13.841800,7.567200
13.891800,7.567200
13.941800,7.567200
13.991800,7.567200
14.041800,7.567200
14.091800,7.567200
14.141800,7.567200
14.191800,7.567200
14.241800,7.567200
14.291800,7.567200
14.341800,7.567200
14.391800,7.567200
14.441800,7.567200
14.491800,7.567200
14.541800,7.567200
14.591800,7.567200
14.641800,7.567200
14.691800,7.567200
14.741800,7.567200
14.791800,7.567200
14.841800,7.567200
14.891800,7.567200
14.941800,7.567200
14.991800,7.567200
15.041800,7.567200
15.091800,7.567200
15.141800,7.567200
15.191800,7.567200
15.241800,7.567200
15.291800,7.567200
15.341800,7.567200
15.391800,7.567200
15.441800,7.567200
15.491800,7.567200
15.541800,7.567200
15.591800,7.567200
15.641800,7.567200
15.691800,7.567200
15.741800,7.567200
15.791800,7.567200
15.841800,7.567200
15.891800,7.567200
15.941800,7.567200
15.991800,7.567200
16.041800,7.567200
16.091800,7.567200
16.141800,7.567200
16.191800,7.567200
16.241800,7.567200
16.291800,7.567200
16.341800,7.567200
16.391800,7.567200
16.441800,7.567200
16.491800,7.567200
16.541800,7.567200
16.591800,7.567200
16.641800,7.567200
16.691800,7.567200
16.741800,7.567200
16.791800,7.567200
16.841800,7.567200
16.891800,7.567200
16.941800,7.567200
16.991800,7.567200
17.041800,7.567200
17.091800,7.567200
17.141800,7.567200
17.191800,7.567200
17.241800,7.567200
17.291800,7.567200
17.341800,7.567200
17.391800,7.567200
17.441800,7.567200
17.491800,7.567200
17.541800,7.567200
17.591800,7.567200
17.641800,7.567200
17.691800,7.567200
17.741800,7.567200
17.791800,7.567200
17.841800,7.567200
17.891800,7.567200
17.941800,7.567200
17.991800,7.567200
18.041800,7.567200
18.091800,7.567200
18.141800,7.567200
18.191800,7.567200
18.241800,7.567200
18.291800,7.567200
18.341800,7.567200
18.391800,7.567200
18.441800,7.567200
18.491800,7.567200
18.541800,7.567200
18.591800,7.567200
18.641800,7.567200
18.691800,7.567200
18.741800,7.567200
18.791800,7.567200
18.841800,7.567200
18.891800,7.567200
18.941800,7.567200
18.991800,7.567200
19.041800,7.567200
19.091800,7.567200
19.141800,7.567200
19.191800,7.567200
19.241800,7.567200
19.291800,7.567200
19.341800,7.567200
19.391800,7.567200
19.441800,7.567200
19.491800,7.567200
19.541800,7.567200
19.591800,7.567200
19.641800,7.567200
19.691800,7.567200
19.741800,7.567200
19.791800,7.567200
19.841800,7.567200
19.891800,7.567200
19.941800,7.567200
19.991800,7.567200
20.041800,7.567200
20.091800,7.567200
20.141800,7.567200
20.191800,7.567200
20.241800,7.567200
20.291800,7.567200
20.341800,7.567200
20.391800,7.567200
20.441800,7.567200
20.491800,7.567200
20.541800,7.567200
20.591800,7.567200
20.641800,7.567200
20.691800,7.567200
20.741800,7.567200
20.791800,7.567200
20.841800,7.567200
20.891800,7.567200
20.941800,7.567200
20.991800,7.567200
21.041800,7.567200
21.091800,7.567200
21.141800,7.567200
21.191800,7.567200
21.241800,7.567200
21.291800,7.567200
21.341800,7.567200
21.391800,7.567200
21.441800,7.567200
21.491800,7.567200
21.491800,7.517200
21.491800,7.467200
21.491800,7.417200
21.491800,7.367200
21.491800,7.317200
21.491800,7.267200
21.491800,7.217200
